Dam Name,Report Date,Report Time,Dead Storage (MCM),Design Live Storage (MCM),Design Gross Storage (MCM),Current Live Storage (MCM),Current Gross Storage (MCM),Current Live Storage (%),Last Year Storage (%),Status
Mulshi,30/06/2026,08:00 स.,230.0,522.76,752.76,43.87,273.87,8.39,61.35,Success
Panshet,30/06/2026,06:01 स.,9.0,301.61,310.61,51.69,60.69,17.14,45.95,Success
Temghar,30/06/2026,08:35 स.,2.95,105.01,107.96,0.0,2.95,0.0,35.9,Success
Gunjawani,29/06/2026,05:05 स.,0.21,104.48,104.69,18.93,19.14,18.12,62.65,Success
Khadakwasla,29/06/2026,08:00 स.,30.0,55.91,85.91,8.09,38.09,14.47,61.08,Success
Mulshi,29/06/2026,07:45 स.,230.0,522.76,752.76,43.61,273.61,8.34,58.43,Success
Panshet,29/06/2026,07:47 स.,9.0,301.61,310.61,52.6,61.6,17.44,44.61,Success
Temghar,29/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,35.34,Success
Gunjawani,28/06/2026,08:00 स.,0.21,104.48,104.69,18.93,19.14,18.12,59.72,Success
Khadakwasla,28/06/2026,08:31 स.,30.0,55.91,85.91,8.37,38.37,14.97,62.42,Success
Mulshi,28/06/2026,07:45 स.,230.0,522.76,752.76,45.19,275.19,8.64,58.03,Success
Panshet,28/06/2026,08:31 स.,9.0,301.61,310.61,53.62,62.62,17.78,43.38,Success
Temghar,28/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,33.98,Success
Gunjawani,27/06/2026,05:58 स.,0.21,104.48,104.69,18.93,19.14,18.12,56.79,Success
Khadakwasla,27/06/2026,08:00 स.,30.0,55.91,85.91,9.72,39.72,17.39,63.01,PDF Not Available
Mulshi,27/06/2026,08:00 स.,230.0,522.76,752.76,47.69,277.69,9.12,54.14,PDF Not Available
Panshet,27/06/2026,08:00 स.,9.0,301.61,310.61,53.62,62.62,17.78,41.62,PDF Not Available
