Dam Name,Report Date,Report Time,Dead Storage (MCM),Design Live Storage (MCM),Design Gross Storage (MCM),Current Live Storage (MCM),Current Gross Storage (MCM),Current Live Storage (%),Last Year Storage (%),Status
Panshet,04/01/2026,08:00 स.,9.0,301.61,310.61,240.68,249.68,79.8,79.48,Success
Temghar,04/01/2026,08:00 स.,2.95,105.01,107.96,78.22,81.17,74.49,45.78,Success
Gunjawani,03/01/2026,08:00 स.,0.21,104.48,104.69,97.63,97.84,93.44,88.42,PDF Not Available
Khadakwasla,03/01/2026,08:00 स.,30.0,55.91,85.91,33.2,63.2,59.38,37.97,PDF Not Available
Mulshi,03/01/2026,08:00 स.,230.0,522.76,752.76,420.64,650.64,80.47,74.63,PDF Not Available
Panshet,03/01/2026,08:00 स.,9.0,301.61,310.61,242.53,251.53,80.41,80.34,PDF Not Available
Temghar,03/01/2026,08:00 स.,2.95,105.01,107.96,79.02,81.97,75.25,46.84,PDF Not Available
Gunjawani,02/01/2026,05:41 स.,0.21,104.48,104.69,97.63,97.84,93.44,88.97,Success
Khadakwasla,02/01/2026,07:45 स.,30.0,55.91,85.91,31.89,61.89,57.04,38.95,Success
Mulshi,02/01/2026,08:00 स.,230.0,522.76,752.76,422.73,652.73,80.87,74.92,Success
Panshet,02/01/2026,08:00 स.,9.0,301.61,310.61,244.38,253.38,81.03,81.2,Success
Temghar,02/01/2026,08:00 स.,2.95,105.01,107.96,79.81,82.76,76.0,47.9,Success
Gunjawani,01/01/2026,05:33 स.,0.21,104.48,104.69,97.63,97.84,93.44,89.52,Success
Khadakwasla,01/01/2026,08:34 स.,30.0,55.91,85.91,31.06,61.06,55.55,42.34,Success
Mulshi,01/01/2026,08:00 स.,230.0,522.76,752.76,425.0,655.0,81.3,75.27,Success
Panshet,01/01/2026,08:34 स.,9.0,301.61,310.61,246.16,255.16,81.62,81.89,Success
Temghar,01/01/2026,08:41 स.,2.95,105.01,107.96,80.62,83.57,76.77,49.23,Success
Gunjawani,31/12/2025,05:31 स.,0.21,104.48,104.69,98.86,99.07,94.62,89.52,Success
Khadakwasla,31/12/2025,08:00 स.,30.0,55.91,85.91,30.51,60.51,54.57,42.67,Success
Mulshi,31/12/2025,08:00 स.,230.0,522.76,752.76,427.27,657.27,81.73,75.41,Success
Panshet,31/12/2025,08:00 स.,9.0,301.61,310.61,247.67,256.67,82.12,82.08,Success
Temghar,31/12/2025,08:21 स.,2.95,105.01,107.96,81.46,84.41,77.57,49.38,Success
Gunjawani,30/12/2025,05:31 स.,0.21,104.48,104.69,100.1,100.31,95.81,89.52,Success
Khadakwasla,30/12/2025,08:00 स.,30.0,55.91,85.91,29.47,59.47,52.71,45.72,Success
Mulshi,30/12/2025,07:45 स.,230.0,522.76,752.76,429.93,659.93,82.24,75.7,Success
Panshet,30/12/2025,07:45 स.,9.0,301.61,310.61,249.7,258.7,82.79,82.7,Success
Temghar,30/12/2025,08:00 स.,2.95,105.01,107.96,82.23,85.18,78.31,49.38,Success
Gunjawani,29/12/2025,05:41 स.,0.21,104.48,104.69,100.71,100.92,96.39,90.63,Success
Khadakwasla,29/12/2025,07:45 स.,30.0,55.91,85.91,29.17,59.17,52.17,47.46,Success
Mulshi,29/12/2025,08:00 स.,230.0,522.76,752.76,431.44,661.44,82.53,75.98,Success
Panshet,29/12/2025,08:00 स.,9.0,301.61,310.61,251.61,260.61,83.42,83.49,Success
Temghar,29/12/2025,08:00 स.,2.95,105.01,107.96,83.05,86.0,79.09,49.61,Success
Gunjawani,28/12/2025,05:31 स.,0.21,104.48,104.69,101.33,101.54,96.99,90.63,Success
Khadakwasla,28/12/2025,08:00 स.,30.0,55.91,85.91,28.44,58.44,50.87,47.7,Success
Mulshi,28/12/2025,08:00 स.,230.0,522.76,752.76,433.72,663.72,82.97,76.7,Success
Panshet,28/12/2025,09:01 स.,9.0,301.61,310.61,253.52,262.52,84.06,84.28,Success
Temghar,28/12/2025,08:00 स.,2.95,105.01,107.96,83.87,86.82,79.87,49.61,Success
Gunjawani,27/12/2025,05:06 स.,0.21,104.48,104.69,101.95,102.16,97.58,91.19,Success
Khadakwasla,27/12/2025,08:20 स.,30.0,55.91,85.91,28.31,58.31,50.63,46.32,Success
Mulshi,27/12/2025,08:00 स.,230.0,522.76,752.76,435.82,665.82,83.37,76.84,Success
Panshet,27/12/2025,08:19 स.,9.0,301.61,310.61,255.99,264.99,84.87,84.79,Success
Temghar,27/12/2025,08:24 स.,2.95,105.01,107.96,84.47,87.42,80.44,52.19,Success
Gunjawani,26/12/2025,05:42 स.,0.21,104.48,104.69,103.18,103.39,98.76,91.74,Success
Khadakwasla,26/12/2025,07:23 स.,30.0,55.91,85.91,27.32,57.32,48.86,46.49,Success
Mulshi,26/12/2025,08:30 स.,230.0,522.76,752.76,437.92,667.92,83.77,76.98,Success
Panshet,26/12/2025,07:23 स.,9.0,301.61,310.61,256.81,265.81,85.15,85.15,Success
Temghar,26/12/2025,08:30 स.,2.95,105.01,107.96,85.43,88.38,81.35,52.19,Success
Gunjawani,25/12/2025,05:44 स.,0.21,104.48,104.69,103.18,103.39,98.76,92.3,Success
Khadakwasla,25/12/2025,08:30 स.,30.0,55.91,85.91,26.26,56.26,46.97,44.69,Success
Mulshi,25/12/2025,08:00 स.,230.0,522.76,752.76,439.83,669.83,84.14,77.48,Success
Panshet,25/12/2025,08:30 स.,9.0,301.61,310.61,259.27,268.27,85.96,85.64,Success
Temghar,25/12/2025,08:00 स.,2.95,105.01,107.96,86.26,89.21,82.14,52.19,Success
Gunjawani,24/12/2025,05:51 स.,0.21,104.48,104.69,103.18,103.39,98.76,92.85,Success
Khadakwasla,24/12/2025,08:28 स.,30.0,55.91,85.91,25.9,55.9,46.32,43.89,Success
Mulshi,24/12/2025,08:00 स.,230.0,522.76,752.76,441.36,671.36,84.43,77.63,Success
Panshet,24/12/2025,08:28 स.,9.0,301.61,310.61,260.09,269.09,86.23,86.37,Success
Temghar,24/12/2025,08:00 स.,2.95,105.01,107.96,87.1,90.05,82.94,52.7,Success
Gunjawani,23/12/2025,08:00 स.,0.21,104.48,104.69,103.18,103.39,98.76,93.44,PDF Not Available
Khadakwasla,23/12/2025,08:00 स.,30.0,55.91,85.91,25.39,55.39,45.41,42.8,PDF Not Available
Mulshi,23/12/2025,08:00 स.,230.0,522.76,752.76,443.66,673.66,84.87,77.95,PDF Not Available
Panshet,23/12/2025,08:00 स.,9.0,301.61,310.61,261.46,270.46,86.69,86.71,PDF Not Available
Temghar,23/12/2025,08:00 स.,2.95,105.01,107.96,87.9,90.85,83.71,53.63,PDF Not Available
Gunjawani,22/12/2025,08:00 स.,0.21,104.48,104.69,103.18,103.39,98.76,94.03,Success
Khadakwasla,22/12/2025,08:00 स.,30.0,55.91,85.91,24.88,54.88,44.5,41.71,Success
Mulshi,22/12/2025,08:00 स.,230.0,522.76,752.76,445.96,675.96,85.31,78.27,Success
Panshet,22/12/2025,08:00 स.,9.0,301.61,310.61,262.82,271.82,87.14,87.05,Success
Temghar,22/12/2025,08:00 स.,2.95,105.01,107.96,88.69,91.64,84.46,54.56,Success
Gunjawani,21/12/2025,08:47 स.,0.21,104.48,104.69,103.18,103.39,98.76,94.62,Success
Khadakwasla,21/12/2025,08:00 स.,30.0,55.91,85.91,24.54,54.54,43.89,40.18,Success
Mulshi,21/12/2025,08:00 स.,230.0,522.76,752.76,446.72,676.72,85.45,78.63,Success
Panshet,21/12/2025,06:00 स.,9.0,301.61,310.61,264.59,273.59,87.73,88.14,Success
Temghar,21/12/2025,08:00 स.,2.95,105.01,107.96,89.54,92.49,85.27,55.51,Success
Gunjawani,20/12/2025,10:05 स.,0.21,104.48,104.69,103.83,104.04,99.38,94.62,Success
Khadakwasla,20/12/2025,08:00 स.,30.0,55.91,85.91,24.54,54.54,43.89,39.12,Success
Mulshi,20/12/2025,08:00 स.,230.0,522.76,752.76,449.02,679.02,85.89,79.2,Success
Panshet,20/12/2025,08:00 स.,9.0,301.61,310.61,265.84,274.84,88.14,88.32,Success
Temghar,20/12/2025,08:00 स.,2.95,105.01,107.96,89.98,92.93,85.69,56.55,Success
Gunjawani,19/12/2025,07:51 स.,0.21,104.48,104.69,103.18,103.39,98.76,94.62,Success
Khadakwasla,19/12/2025,08:00 स.,30.0,55.91,85.91,24.33,54.33,43.52,38.04,Success
Mulshi,19/12/2025,08:00 स.,230.0,522.76,752.76,451.32,681.32,86.33,79.99,Success
Panshet,19/12/2025,08:00 स.,9.0,301.61,310.61,267.74,276.74,88.77,88.86,Success
Temghar,19/12/2025,08:00 स.,2.95,105.01,107.96,90.3,93.25,85.99,57.37,Success
Gunjawani,18/12/2025,08:00 स.,0.21,104.48,104.69,103.4,103.61,98.97,94.82,Success
Khadakwasla,18/12/2025,08:00 स.,30.0,55.91,85.91,23.95,53.95,42.84,36.65,Success
Mulshi,18/12/2025,08:00 स.,230.0,522.76,752.76,453.61,683.61,86.77,80.5,Success
Panshet,18/12/2025,08:00 स.,9.0,301.61,310.61,269.64,278.64,89.4,89.49,Success
Temghar,18/12/2025,08:00 स.,2.95,105.01,107.96,91.15,94.1,86.8,58.26,Success
Gunjawani,17/12/2025,08:00 स.,0.21,104.48,104.69,103.61,103.82,99.17,95.01,Success
Khadakwasla,17/12/2025,08:00 स.,30.0,55.91,85.91,23.44,53.44,41.92,35.52,Success
Mulshi,17/12/2025,08:00 स.,230.0,522.76,752.76,455.55,685.55,87.14,80.86,Success
Panshet,17/12/2025,08:00 स.,9.0,301.61,310.61,271.39,280.39,89.98,89.98,Success
Temghar,17/12/2025,08:00 स.,2.95,105.01,107.96,91.92,94.87,87.53,59.2,Success
Gunjawani,16/12/2025,05:55 स.,0.21,104.48,104.69,103.83,104.04,99.38,95.21,Success
Khadakwasla,16/12/2025,08:00 स.,30.0,55.91,85.91,23.19,53.19,41.48,36.28,Success
Mulshi,16/12/2025,08:00 स.,230.0,522.76,752.76,457.49,687.49,87.51,81.08,Success
Panshet,16/12/2025,08:00 स.,9.0,301.61,310.61,273.03,282.03,90.52,90.37,Success
Temghar,16/12/2025,08:00 स.,2.95,105.01,107.96,92.69,95.64,88.27,60.06,Success
Gunjawani,15/12/2025,04:34 स.,0.21,104.48,104.69,103.83,104.04,99.38,95.21,Success
Khadakwasla,15/12/2025,08:00 स.,30.0,55.91,85.91,24.33,54.33,43.52,38.22,Success
Mulshi,15/12/2025,08:00 स.,230.0,522.76,752.76,460.21,690.21,88.03,81.44,Success
Panshet,15/12/2025,08:00 स.,9.0,301.61,310.61,273.18,282.18,90.57,90.42,Success
Temghar,15/12/2025,08:00 स.,2.95,105.01,107.96,93.46,96.41,89.0,61.05,Success
Gunjawani,14/12/2025,06:03 स.,0.21,104.48,104.69,103.83,104.04,99.38,95.8,Success
Khadakwasla,14/12/2025,07:45 स.,30.0,55.91,85.91,25.32,55.32,45.29,39.48,Success
Mulshi,14/12/2025,08:00 स.,230.0,522.76,752.76,462.15,692.15,88.41,81.66,Success
Panshet,14/12/2025,08:17 स.,9.0,301.61,310.61,273.18,282.18,90.57,90.47,Success
Temghar,14/12/2025,08:00 स.,2.95,105.01,107.96,94.32,97.27,89.82,62.03,Success
Gunjawani,13/12/2025,08:00 स.,0.21,104.48,104.69,103.83,104.04,99.38,96.39,Success
Khadakwasla,13/12/2025,08:00 स.,30.0,55.91,85.91,26.17,56.17,46.81,41.92,Success
Mulshi,13/12/2025,08:00 स.,230.0,522.76,752.76,463.31,693.31,88.63,81.95,Success
Panshet,13/12/2025,07:51 स.,9.0,301.61,310.61,273.63,282.63,90.72,90.57,Success
Temghar,13/12/2025,08:00 स.,2.95,105.01,107.96,95.1,98.05,90.56,62.91,Success
Gunjawani,12/12/2025,05:54 स.,0.21,104.48,104.69,103.83,104.04,99.38,96.98,Success
Khadakwasla,12/12/2025,08:00 स.,30.0,55.91,85.91,27.22,57.22,48.69,43.71,Success
Mulshi,12/12/2025,07:45 स.,230.0,522.76,752.76,466.03,696.03,89.15,82.31,Success
Panshet,12/12/2025,08:00 स.,9.0,301.61,310.61,273.63,282.63,90.72,90.57,Success
Temghar,12/12/2025,08:00 स.,2.95,105.01,107.96,95.74,98.69,91.17,63.83,Success
Gunjawani,11/12/2025,08:00 स.,0.21,104.48,104.69,103.83,104.04,99.38,97.28,Success
Khadakwasla,11/12/2025,07:45 स.,30.0,55.91,85.91,28.06,58.06,50.19,43.89,Success
Mulshi,11/12/2025,08:00 स.,230.0,522.76,752.76,467.58,697.58,89.44,82.6,Success
Panshet,11/12/2025,08:00 स.,9.0,301.61,310.61,273.63,282.63,90.72,90.57,Success
Temghar,11/12/2025,08:00 स.,2.95,105.01,107.96,96.52,99.47,91.92,65.02,Success
Gunjawani,10/12/2025,08:20 स.,0.21,104.48,104.69,103.83,104.04,99.38,97.57,Success
Khadakwasla,10/12/2025,08:38 स.,30.0,55.91,85.91,29.07,59.07,51.99,46.32,Success
Mulshi,10/12/2025,08:00 स.,230.0,522.76,752.76,469.52,699.52,89.82,82.82,Success
Panshet,10/12/2025,08:39 स.,9.0,301.61,310.61,274.08,283.08,90.87,90.62,Success
Temghar,10/12/2025,08:00 स.,2.95,105.01,107.96,97.31,100.26,92.67,65.6,Success
Gunjawani,09/12/2025,07:32 स.,0.21,104.48,104.69,103.83,104.04,99.38,97.57,Success
Khadakwasla,09/12/2025,07:45 स.,30.0,55.91,85.91,28.44,58.44,50.87,45.29,Success
Mulshi,09/12/2025,08:00 स.,230.0,522.76,752.76,471.84,701.84,90.26,83.26,Success
Panshet,09/12/2025,08:00 स.,9.0,301.61,310.61,274.08,283.08,90.87,91.01,Success
Temghar,09/12/2025,08:00 स.,2.95,105.01,107.96,98.79,101.74,94.08,66.89,Success
Gunjawani,08/12/2025,06:02 स.,0.21,104.48,104.69,104.48,104.69,100.0,97.57,Success
Khadakwasla,08/12/2025,07:45 स.,30.0,55.91,85.91,27.73,57.73,49.6,44.09,Success
Mulshi,08/12/2025,08:00 स.,230.0,522.76,752.76,474.59,704.59,90.79,83.33,Success
Panshet,08/12/2025,08:00 स.,9.0,301.61,310.61,274.08,283.08,90.87,91.41,Success
Temghar,08/12/2025,08:00 स.,2.95,105.01,107.96,99.49,102.44,94.74,67.48,Success
Gunjawani,07/12/2025,07:53 स.,0.21,104.48,104.69,104.48,104.69,100.0,97.57,Success
Khadakwasla,07/12/2025,07:45 स.,30.0,55.91,85.91,27.11,57.11,48.49,43.71,Success
Mulshi,07/12/2025,08:00 स.,230.0,522.76,752.76,476.17,706.17,91.09,83.4,Success
Panshet,07/12/2025,08:00 स.,9.0,301.61,310.61,274.22,283.22,90.92,92.33,Success
Temghar,07/12/2025,08:00 स.,2.95,105.01,107.96,100.28,103.23,95.5,68.34,Success
Gunjawani,06/12/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.78,Success
Khadakwasla,06/12/2025,07:45 स.,30.0,55.91,85.91,26.17,56.17,46.81,42.5,Success
Mulshi,06/12/2025,08:00 स.,230.0,522.76,752.76,477.75,707.75,91.39,83.77,Success
Panshet,06/12/2025,08:00 स.,9.0,301.61,310.61,274.37,283.37,90.97,92.68,Success
Temghar,06/12/2025,08:00 स.,2.95,105.01,107.96,101.08,104.03,96.26,69.21,Success
Gunjawani,05/12/2025,01:19 स.,0.21,104.48,104.69,104.48,104.69,100.0,100.0,Success
Khadakwasla,05/12/2025,07:45 स.,30.0,55.91,85.91,25.56,55.56,45.72,41.01,Success
Mulshi,05/12/2025,08:00 स.,230.0,522.76,752.76,479.33,709.33,91.69,84.43,Success
Panshet,05/12/2025,08:00 स.,9.0,301.61,310.61,274.51,283.51,91.01,93.36,Success
Temghar,05/12/2025,08:00 स.,2.95,105.01,107.96,101.71,104.66,96.86,70.43,Success
Gunjawani,04/12/2025,09:57 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,04/12/2025,07:45 स.,30.0,55.91,85.91,25.32,55.32,45.29,40.18,Success
Mulshi,04/12/2025,08:00 स.,230.0,522.76,752.76,481.3,711.3,92.07,84.58,Success
Panshet,04/12/2025,08:00 स.,9.0,301.61,310.61,274.37,283.37,90.97,93.66,Success
Temghar,04/12/2025,08:00 स.,2.95,105.01,107.96,102.26,105.21,97.38,70.81,Success
Gunjawani,03/12/2025,10:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,03/12/2025,06:45 स.,30.0,55.91,85.91,25.32,55.32,45.29,39.3,Success
Mulshi,03/12/2025,08:00 स.,230.0,522.76,752.76,482.88,712.88,92.37,84.94,Success
Panshet,03/12/2025,08:00 स.,9.0,301.61,310.61,274.51,283.51,91.01,94.25,Success
Temghar,03/12/2025,08:00 स.,2.95,105.01,107.96,102.35,105.3,97.47,71.7,Success
Gunjawani,02/12/2025,08:43 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,02/12/2025,07:45 स.,30.0,55.91,85.91,24.33,54.33,43.52,38.59,Success
Mulshi,02/12/2025,08:00 स.,230.0,522.76,752.76,484.86,714.86,92.75,85.38,Success
Panshet,02/12/2025,08:00 स.,9.0,301.61,310.61,275.7,284.7,91.41,94.93,Success
Temghar,02/12/2025,08:00 स.,2.95,105.01,107.96,102.5,105.45,97.61,72.83,Success
Gunjawani,01/12/2025,05:29 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,01/12/2025,07:45 स.,30.0,55.91,85.91,23.44,53.44,41.92,41.01,Success
Mulshi,01/12/2025,08:00 स.,230.0,522.76,752.76,486.83,716.83,93.13,85.53,Success
Panshet,01/12/2025,08:00 स.,9.0,301.61,310.61,277.17,286.17,91.9,95.31,Success
Temghar,01/12/2025,08:00 स.,2.95,105.01,107.96,102.59,105.54,97.7,72.95,Success
Gunjawani,30/11/2025,08:39 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,30/11/2025,07:45 स.,30.0,55.91,85.91,23.19,53.19,41.48,44.88,Success
Mulshi,30/11/2025,08:29 स.,230.0,522.76,752.76,486.44,716.44,93.05,85.75,Success
Panshet,30/11/2025,08:00 स.,9.0,301.61,310.61,278.63,287.63,92.38,95.63,Success
Temghar,30/11/2025,08:00 स.,2.95,105.01,107.96,102.69,105.64,97.79,73.11,Success
Gunjawani,29/11/2025,05:19 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,29/11/2025,07:45 स.,30.0,55.91,85.91,22.56,52.56,40.35,51.11,Success
Mulshi,29/11/2025,08:34 स.,230.0,522.76,752.76,488.02,718.02,93.35,86.11,Success
Panshet,29/11/2025,08:00 स.,9.0,301.61,310.61,280.25,289.25,92.92,95.68,Success
Temghar,29/11/2025,08:00 स.,2.95,105.01,107.96,102.78,105.73,97.88,73.27,Success
Gunjawani,28/11/2025,08:39 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,28/11/2025,07:30 स.,30.0,55.91,85.91,22.18,52.18,39.67,56.82,Success
Mulshi,28/11/2025,08:31 स.,230.0,522.76,752.76,489.99,719.99,93.73,87.0,Success
Panshet,28/11/2025,08:00 स.,9.0,301.61,310.61,282.04,291.04,93.51,95.73,Success
Temghar,28/11/2025,08:00 स.,2.95,105.01,107.96,102.88,105.83,97.97,73.38,Success
Gunjawani,27/11/2025,07:31 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.17,Success
Khadakwasla,27/11/2025,08:00 स.,30.0,55.91,85.91,21.97,51.97,39.3,61.51,Success
Mulshi,27/11/2025,08:00 स.,230.0,522.76,752.76,493.16,723.16,94.34,87.0,Success
Panshet,27/11/2025,07:00 स.,9.0,301.61,310.61,283.37,292.37,93.95,95.87,Success
Temghar,27/11/2025,08:00 स.,2.95,105.01,107.96,102.97,105.92,98.06,73.62,Success
Gunjawani,26/11/2025,06:09 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,26/11/2025,07:45 स.,30.0,55.91,85.91,22.68,52.68,40.57,65.72,Success
Mulshi,26/11/2025,08:30 स.,230.0,522.76,752.76,493.97,723.97,94.49,87.37,Success
Panshet,26/11/2025,08:06 स.,9.0,301.61,310.61,285.15,294.15,94.54,95.87,Success
Temghar,26/11/2025,08:00 स.,2.95,105.01,107.96,103.11,106.06,98.19,74.21,Success
Gunjawani,25/11/2025,08:08 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,25/11/2025,08:00 स.,30.0,55.91,85.91,23.55,53.55,42.12,71.56,Success
Mulshi,25/11/2025,08:00 स.,230.0,522.76,752.76,496.38,726.38,94.95,87.37,Success
Panshet,25/11/2025,07:37 स.,9.0,301.61,310.61,286.94,295.94,95.14,95.87,Success
Temghar,25/11/2025,08:00 स.,2.95,105.01,107.96,103.2,106.15,98.28,76.09,Success
Gunjawani,24/11/2025,06:03 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,24/11/2025,07:45 स.,30.0,55.91,85.91,23.95,53.95,42.84,71.56,Success
Mulshi,24/11/2025,08:14 स.,230.0,522.76,752.76,496.78,726.78,95.03,87.51,Success
Panshet,24/11/2025,07:20 स.,9.0,301.61,310.61,288.27,297.27,95.58,95.97,Success
Temghar,24/11/2025,08:00 स.,2.95,105.01,107.96,103.3,106.25,98.37,76.09,Success
Gunjawani,23/11/2025,05:56 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,23/11/2025,07:45 स.,30.0,55.91,85.91,24.33,54.33,43.52,73.78,Success
Mulshi,23/11/2025,08:00 स.,230.0,522.76,752.76,499.6,729.6,95.57,87.44,Success
Panshet,23/11/2025,08:00 स.,9.0,301.61,310.61,289.6,298.6,96.02,95.97,Success
Temghar,23/11/2025,08:00 स.,2.95,105.01,107.96,103.39,106.34,98.46,76.93,Success
Gunjawani,22/11/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,22/11/2025,07:45 स.,30.0,55.91,85.91,24.65,54.65,44.09,75.14,Success
Mulshi,22/11/2025,08:00 स.,230.0,522.76,752.76,500.81,730.81,95.8,87.74,Success
Panshet,22/11/2025,08:00 स.,9.0,301.61,310.61,291.27,300.27,96.57,96.02,Success
Temghar,22/11/2025,08:00 स.,2.95,105.01,107.96,103.49,106.44,98.55,77.78,Success
Gunjawani,21/11/2025,07:58 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,21/11/2025,08:00 स.,30.0,55.91,85.91,24.54,54.54,43.89,76.12,Success
Mulshi,21/11/2025,08:26 स.,230.0,522.76,752.76,501.62,731.62,95.96,88.33,Success
Panshet,21/11/2025,08:00 स.,9.0,301.61,310.61,292.89,301.89,97.11,95.97,Success
Temghar,21/11/2025,08:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,78.72,Success
Gunjawani,20/11/2025,08:37 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,20/11/2025,07:45 स.,30.0,55.91,85.91,23.44,53.44,41.92,77.51,Success
Mulshi,20/11/2025,08:14 स.,230.0,522.76,752.76,503.23,733.23,96.26,88.48,Success
Panshet,20/11/2025,08:00 स.,9.0,301.61,310.61,294.38,303.38,97.6,96.12,Success
Temghar,20/11/2025,08:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,79.58,Success
Gunjawani,19/11/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,19/11/2025,07:45 स.,30.0,55.91,85.91,22.56,52.56,40.35,78.39,Success
Mulshi,19/11/2025,08:18 स.,230.0,522.76,752.76,504.84,734.84,96.57,88.78,Success
Panshet,19/11/2025,08:00 स.,9.0,301.61,310.61,296.13,305.13,98.18,96.07,Success
Temghar,19/11/2025,08:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,80.44,Success
Gunjawani,18/11/2025,08:27 स.,0.21,104.48,104.69,104.48,104.69,100.0,98.76,Success
Khadakwasla,18/11/2025,07:45 स.,30.0,55.91,85.91,22.56,52.56,40.35,79.36,Success
Mulshi,18/11/2025,08:27 स.,230.0,522.76,752.76,505.64,735.64,96.73,89.07,Success
Panshet,18/11/2025,08:00 स.,9.0,301.61,310.61,297.19,306.19,98.53,96.17,Success
Temghar,18/11/2025,08:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,81.31,Success
Gunjawani,17/11/2025,05:50 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,17/11/2025,07:30 स.,30.0,55.91,85.91,22.37,52.37,40.01,79.61,Success
Mulshi,17/11/2025,08:17 स.,230.0,522.76,752.76,506.85,736.85,96.96,89.22,Success
Panshet,17/11/2025,08:00 स.,9.0,301.61,310.61,299.12,308.12,99.17,96.17,Success
Temghar,17/11/2025,08:00 स.,2.95,105.01,107.96,104.63,107.58,99.64,90.3,Success
Gunjawani,16/11/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,16/11/2025,07:45 स.,30.0,55.91,85.91,22.07,52.07,39.47,80.92,Success
Mulshi,16/11/2025,08:00 स.,230.0,522.76,752.76,508.86,738.86,97.34,89.22,Success
Panshet,16/11/2025,12:00 स.,9.0,301.61,310.61,301.03,310.03,99.81,96.21,Success
Temghar,16/11/2025,10:30 स.,2.95,105.01,107.96,105.01,107.96,100.0,99.28,Success
Gunjawani,15/11/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,15/11/2025,08:27 स.,30.0,55.91,85.91,22.28,52.28,39.85,82.76,Success
Mulshi,15/11/2025,08:17 स.,230.0,522.76,752.76,508.86,738.86,97.34,89.74,Success
Panshet,15/11/2025,08:28 स.,9.0,301.61,310.61,301.61,310.61,100.0,96.31,Success
Temghar,15/11/2025,08:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,84.08,Success
Gunjawani,14/11/2025,07:50 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,14/11/2025,08:00 स.,30.0,55.91,85.91,23.55,53.55,42.12,82.76,Success
Mulshi,14/11/2025,08:12 स.,230.0,522.76,752.76,509.67,739.67,97.5,90.11,Success
Panshet,14/11/2025,08:00 स.,9.0,301.61,310.61,301.61,310.61,100.0,96.26,Success
Temghar,14/11/2025,01:00 स.,2.95,105.01,107.96,104.25,107.2,99.28,84.97,Success
Gunjawani,13/11/2025,08:27 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,13/11/2025,07:45 स.,30.0,55.91,85.91,24.88,54.88,44.5,83.31,Success
Mulshi,13/11/2025,08:25 स.,230.0,522.76,752.76,511.28,741.28,97.8,90.33,Success
Panshet,13/11/2025,08:00 स.,9.0,301.61,310.61,301.61,310.61,100.0,96.26,Success
Temghar,13/11/2025,08:00 स.,2.95,105.01,107.96,104.96,107.91,99.95,85.86,Success
Gunjawani,12/11/2025,07:22 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,12/11/2025,07:45 स.,30.0,55.91,85.91,26.08,56.08,46.65,84.47,Success
Mulshi,12/11/2025,08:00 स.,230.0,522.76,752.76,513.3,743.3,98.19,90.33,Success
Panshet,12/11/2025,08:00 स.,9.0,301.61,310.61,301.61,310.61,100.0,96.26,Success
Temghar,12/11/2025,08:00 स.,2.95,105.01,107.96,104.96,107.91,99.95,86.67,Success
Gunjawani,11/11/2025,08:00 स.,0.21,104.48,104.69,104.48,104.69,100.0,99.38,Success
Khadakwasla,11/11/2025,07:45 स.,30.0,55.91,85.91,27.22,57.22,48.69,85.26,Success
Mulshi,11/11/2025,07:30 स.,230.0,522.76,752.76,514.94,744.94,98.5,90.79,Success
